Filter,PSNR,SSIM,MSE,Entropy,CII
Original,100.0,1.0,0.0,5.820761530123322,1.0
Unsharp Mask,100.0,1.0,0.0,6.590047648506657,1.0
Gaussian LPF,38.539606012422055,0.9769225924009836,9.101642219387756,6.721589355644005,0.9838685729463462
Gaussian Smooth,37.2815971231382,0.9494371370548791,12.159638073979592,6.665491700891038,0.9795234062273966
Ideal LPF,30.080949890198312,0.9470788532370391,63.824198820153065,6.68287224105302,0.9137728415391647
Median Filter,37.11182418436988,0.9121617375130091,12.644391741071429,5.7612265630641115,0.9890273309789543
Mean Filter,34.14020746273326,0.8909161488464864,25.064532844387756,6.667640280189575,0.968034366654985
Bilateral,34.39104824166209,0.8464809789298222,23.65786431760204,6.687274457698954,0.969405883363341
Median + Gamma,23.86695448149229,0.8409534367289455,266.9223333864796,6.442890148978145,1.0323567732122778
Median + Laplacian,30.27989680004338,0.7947499197138652,60.96641820790816,6.729790453292994,1.0241220752542435
Laplacian,28.73984036991052,0.7913345378058609,86.91531808035714,6.770554368527684,1.07615721221698
CLAHE,21.004538584056398,0.7754507709313261,515.9724370216836,7.157559887072193,1.1418438977478527
ACE-ME (Novel),23.383960848867904,0.7102756225255258,298.3213089923469,6.817645214371899,1.008016552927805
Homomorphic,11.71887011946654,0.37585543919295955,4377.169343909439,4.218159260812723,0.2047217531584548
Ideal HPF,10.665568242819505,0.09845797692455986,5578.578344228316,4.75883075127672,0.3902290963345945
